Uniprot_ID,Flybase_ID,Gene_Symbol,Name,XSome_Loc,Xsome_Coord,FBtr_ID,FBpp_ID,Source,Description
Q9VE77,FBgn0038613,Vha100-4,Vacuolar H[+] ATPase 100kD subunit 4,3R,18386841..18389805(-1),FBtr0083658,FBpp0083073,Alliance,"Predicted to enable ATPase binding activity. Predicted to contribute to proton-transporting ATPase activity, rotational mechanism. Predicted to be involved in proton transmembrane transport and vacuolar acidification. Predicted to be part of vacuolar proton-transporting V-type ATPase, V0 domain. Predicted to be active in plasma membrane. Is expressed in adult head; copper cell primordium; dorsal epidermis primordium; embryonic/larval midgut; and prothoracic gland. Human ortholog(s) of this gene implicated in autosomal recessive cutis laxa type IIA; autosomal recessive osteopetrosis 1; developmental and epileptic encephalopathy; renal tubular acidosis; and wrinkly skin syndrome. Orthologous to several human genes including ATP6V0A1 (ATPase H+ transporting V0 subunit a1); ATP6V0A2 (ATPase H+ transporting V0 subunit a2); and ATP6V0A4 (ATPase H+ transporting V0 subunit a4)."
Q9XTL9,FBgn0004507,Glyp,Glycogen phosphorylase,2L,2130813..2137296(1),"FBtr0100485, FBtr0077828","FBpp0099923, FBpp0077501",UniProtKB,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity). Required for glycogen breakdown in skeletal muscle. (UniProtKB:Q9XTL9)"
M9PD84,FBgn0287724,Ca-beta,Ca2+-channel-protein-beta-subunit,2L,11156118..11203544(-1),"FBtr0306386, FBtr0310280, FBtr0300115, FBtr0343617, FBtr0343616, FBtr0310279, FBtr0310281, FBtr0300536, FBtr0343615","FBpp0301962, FBpp0297478, FBpp0289392, FBpp0301963, FBpp0310211, FBpp0310212, FBpp0289763, FBpp0301964, FBpp0310210",Alliance,Enables voltage-gated calcium channel activity. Involved in calcium ion transmembrane transport; calcium-mediated signaling; and neuron remodeling. Predicted to be part of voltage-gated calcium channel complex. Is expressed in adult head.
E1JIH3,FBgn0051352,Unc-115a,Uncoordinated 115a,3R,9694386..9705417(-1),"FBtr0339597, FBtr0344275, FBtr0082092, FBtr0344276, FBtr0346714, FBtr0300564, FBtr0344277, FBtr0300565","FBpp0310681, FBpp0289792, FBpp0308669, FBpp0289791, FBpp0310682, FBpp0312325, FBpp0081570, FBpp0310680",FlyBase Gene Snapshot,Uncoordinated 115a (Unc-115a) encodes a protein involved in axon pathfinding in the visual system and the CNS.
Q8ING2,FBgn0051533,CG31533,N/A,3R,14154728..14157431(-1),FBtr0082905,FBpp0082366,Alliance,Is expressed in spermatozoon.
Q8SXX2,FBgn0032536,Ance-3,Ance-3,2L,13914725..13956188(1),"FBtr0100327, FBtr0343641","FBpp0099733, FBpp0310234",Alliance,"Predicted to enable metallopeptidase activity and peptidyl-dipeptidase activity. Predicted to be located in membrane. Predicted to be active in plasma membrane. Is expressed in adult head. Human ortholog(s) of this gene implicated in several diseases, including avian influenza; cerebral malaria; hypertension (multiple); respiratory syncytial virus infectious disease; and severe acute respiratory syndrome. Orthologous to human ACE2 (angiotensin converting enzyme 2)."
A0A0B4KHL5,FBgn0039862,kek6,kekkon 6,3R,31622136..31664646(1),"FBtr0330107, FBtr0085821","FBpp0303140, FBpp0085182",Alliance,Enables neurotrophin binding activity and neurotrophin receptor activity. Involved in regulation of synaptic plasticity. Located in type I terminal bouton. Is expressed in 3-1M; adult head; and embryonic/larval central nervous system.
Q9VKM1,FBgn0004872,piwi,P-element induced wimpy testis,2L,10982205..10987420(-1),"FBtr0340227, FBtr0080166","FBpp0309202, FBpp0079755",UniProtKB,"Acts via the piwi-interacting RNA (piRNA) metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons (PubMed:26808625, PubMed:15817569, PubMed:17346786). Directly binds piRNAs, a class of 24 to 30 nucleotide RNAs that are generated by a Dicer-independent mechanism and are primarily derived from transposons and other repeated sequence elements (PubMed:16882972). In ovarian somatic cells, mediates silencing of transposable elements at the transcriptional level in a mael-dependent manner (PubMed:23159368, PubMed:28472469). Involved in silencing of long terminal repeat (LTR) retrotransposons in male germline (PubMed:15817569). In testis, regulates spermatogenesis together with Tudor-SN (PubMed:26808625). In germ cells, mediates silencing at both transcriptional and post-transcriptional levels and is involved in the maintenance of populations of primary and secondary piRNAs. Piwi-mediated transcriptional silencing is accompanied by the formation of His3 'Lys-9' trimethylated (H3K9me3) euchromatin and heterochromatin (PubMed:23434410, PubMed:23392610). In ovary, associates predominantly with antisense piRNAs that contain uridine at their 5' end. Association with sense piRNAs is also observed but to a lesser extent. Mediates a somatic signaling mechanism required for the maintenance of germline stem cells to produce and maintain a daughter germline stem cell (PubMed:9851978, PubMed:10631171, PubMed:9199372, PubMed:16949822). It is not essential for the further differentiation of the committed daughter cell (PubMed:9851978). Acts cell autonomously to promote germline stem cell division (PubMed:9851978, PubMed:10631171). Its role in stem cell maintenance does not seem to require nuclear localization. Required maternally for the posterior localization of osk and vas and for pole cell formation during oogenesis and early embryogenesis (PubMed:16949822). Together with Hop and Hsp83, mediates canalization, also known as developmental robustness, likely via epigenetic silencing of existing genetic variants and suppression of transposon-induced new genetic variation (PubMed:21186352). Shows RNA cleavage activity, although is not required for any of its known functions (PubMed:9199372, PubMed:16882972, PubMed:23297219). In the ovaries, forms a complex with nxf2, Panx and Nxt1 which acts as effectors of cotranscriptional transposon silencing (PubMed:31368590, PubMed:31384064). (UniProtKB:Q9VKM1)"
P18824,FBgn0000117,arm,armadillo,X,1891401..1900646(-1),"FBtr0089988, FBtr0089991, FBtr0332583, FBtr0089989, FBtr0089990, FBtr0089992","FBpp0304835, FBpp0089033, FBpp0089031, FBpp0089032, FBpp0089034, FBpp0089035",FlyBase Gene Snapshot,"armadillo (arm) encodes the Drosophila homolog of beta-catenin. It plays separable roles in cell adhesion and Wingless signaling. It links classic cadherin cell adhesion receptors to alpha-catenin and the actin cytoskeleton, and it acts as the key regulated effector of Wingless signaling, working with TCF/LEF proteins as a transcriptional co-activator."
Q9VY15,FBgn0030582,CG14411,N/A,X,14832647..14836262(1),"FBtr0300432, FBtr0300433, FBtr0073947, FBtr0073946","FBpp0073764, FBpp0289661, FBpp0289662, FBpp0073763",Alliance,Predicted to enable phosphatidylinositol-3-phosphatase activity. Involved in defense response to Gram-negative bacterium. Predicted to be active in cytoplasm and membrane. Is expressed in adult head. Orthologous to several human genes including MTMR10 (myotubularin related protein 10) and MTMR12 (myotubularin related protein 12).
Q9VPI2,FBgn0031209,Ir21a,Ionotropic receptor 21a,2L,21823..25155(-1),FBtr0113008,FBpp0111921,UniProtKB,"Integral part of a neural sensory system in the antenna that provides the neural basis for the response to environmental changes in temperature (thermosensation) (PubMed:27126188, PubMed:27656904). Together with Ir25a and Ir93a, mediates the response of the dorsal organ cool cells, a trio of cool-responsive neurons, to cooling and is required for cool avoidance behavior (PubMed:27126188, PubMed:27656904). (UniProtKB:Q9VPI2)"
Q9VJH6,FBgn0086673,CG13272,N/A,2L,16804884..16816069(1),"FBtr0080914, FBtr0331621","FBpp0304011, FBpp0080471",FlyBase Auto Summary,This gene is referred to in FlyBase by the symbol Dmel\CG13272 (FBgn0086673). It is a protein_coding_gene from Dmel. Gene sequence location is 2L:16804884..16816069. Its molecular function is described by: . It is involved in the biological process described with: . No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages.  
Q9VKZ0,FBgn0032223,GATAd,GATAd,2L,10333734..10339185(1),"FBtr0079993, FBtr0333097, FBtr0333098","FBpp0305311, FBpp0305310, FBpp0079583",Alliance,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in cell fate commitment; negative regulation of transcription by RNA polymerase II; and positive regulation of transcription by RNA polymerase II. Located in nucleus. Is expressed in organism."
Q9W2G5,FBgn0034631,TAF1C-like,TATA box-binding protein-associated factor RNA polymerase I subunit C-like,2R,21498903..21501732(-1),FBtr0071701,FBpp0071618,Alliance,Predicted to be involved in nucleolar large rRNA transcription by RNA polymerase I. Located in nucleolus. Part of RNA polymerase transcription factor SL1 complex.
Q9V3Q9,FBgn0260446,GABA-B-R1,metabotropic GABA-B receptor subtype 1,2L,15016331..15034704(1),"FBtr0304732, FBtr0304731","FBpp0293273, FBpp0293274",FlyBase Gene Snapshot,metabotropic GABA-B receptor subtype 1 (GABA-B-R1) encodes a receptor involved in G protein-coupled receptor and gamma-aminobutyric acid signaling pathways.
Q9VC32,FBgn0045980,niki,nimA-like kinase,3R,24822401..24825648(-1),FBtr0084737,FBpp0084112,Alliance,Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in chromosome segregation and protein phosphorylation. Predicted to be located in cilium. Predicted to be active in centrosome; cytoplasm; and nucleus. Human ortholog(s) of this gene implicated in lethal congenital contracture syndrome; nephronophthisis 9; and renal-hepatic-pancreatic dysplasia. Orthologous to several human genes including NEK9 (NIMA related kinase 9).
Q7PL76,FBgn0002566,lt,light,2L,22924795..22943135(1),"FBtr0111125, FBtr0111123, FBtr0344082, FBtr0333519","FBpp0110417, FBpp0310509, FBpp0110415, FBpp0305699",FlyBase Gene Snapshot,"light (lt) encodes a cellular-protein trafficking protein that forms part of the homotypic fusion and vacuolar protein sorting (HOPS) and class C core vacuole/endosome tethering (CORVET) complexes. It is required for fusion of autophagosomes with lysosomes, endocytic down-regulation of Notch signaling, and eye pigment biogenesis."
Q9VV73,FBgn0036640,nxf2,nuclear RNA export factor 2,3L,16576859..16580306(-1),"FBtr0089478, FBtr0089479, FBtr0331561","FBpp0303951, FBpp0088484, FBpp0088483",UniProtKB,"May be involved in the export of mRNA from the nucleus to the cytoplasm (PubMed:11780633). In the ovaries, forms a complex with nxf2, piwi and Nxt1 which acts as effectors of cotranscriptional transposon silencing (PubMed:31219034, PubMed:31368590, PubMed:31570835, PubMed:31384064). On recruitment to a target transcript, interacts with single stranded RNA, thereby anchoring the complex via the nascent target transcript to chromatin and allowing Panx to recruit silencing effectors to establishing repressive heterochromatin at transposon loci (PubMed:31368590, PubMed:31570835, PubMed:31384064). Does not affect piRNA biogenesis (PubMed:31384064). The interaction with Panx stabilizes the nuclear protein complex (PubMed:31384064). Does not bind nucleoporins, but regulates sbr/Nxf1 binding to nucleoporins and, indirectly, transposon exports (PubMed:31570835, PubMed:31384064). (UniProtKB:Q9VV73)"
Q9VZF2,FBgn0035518,CG15011,N/A,3L,4255991..4259152(-1),FBtr0073244,FBpp0073100,Alliance,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of DNA-templated transcription. Predicted to be active in nucleus. Is expressed in embryonic/larval muscle system and organism. Orthologous to human NFXL1 (nuclear transcription factor, X-box binding like 1)."
Q9VJZ9,FBgn0032506,CG9395,N/A,2L,13349823..13355073(-1),"FBtr0302043, FBtr0342641","FBpp0291253, FBpp0309568",Alliance,Predicted to enable UDP-galactosyltransferase activity. Predicted to be involved in N-glycan processing. Is expressed in embryonic antennal sense organ; embryonic brain; and larval ventral nerve cord.
A0A6M3QH83,FBgn0033943,CG12869,N/A,2R,14591203..14595617(1),"FBtr0087496, FBtr0339977, FBtr0479796, FBtr0339978","FBpp0428129, FBpp0308999, FBpp0086625, FBpp0308998",Alliance,Is expressed in head segment; presumptive embryonic/larval system; and ventral sensory complex primordium.
Q9Y103,FBgn0024191,sip1,septin interacting protein 1,2L,5721051..5723944(1),"FBtr0345545, FBtr0079134","FBpp0078765, FBpp0311644",UniProtKB,May be involved in pre-mRNA splicing. (UniProtKB:Q9Y103)
A1Z8W6,FBgn0050046,CG30046,N/A,2R,12314117..12317573(1),"FBtr0087895, FBtr0339627","FBpp0308690, FBpp0087008",Alliance,Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in cell adhesion. Predicted to be located in basement membrane. Predicted to be active in extracellular matrix. Orthologous to human SPON1 (spondin 1).
Q7K4D1,FBgn0040294,POSH,Plenty of SH3s,2R,17568732..17572322(1),FBtr0086828,FBpp0086007,FlyBase Gene Snapshot,Plenty of SH3s (POSH) encodes a scaffold protein that regulates TNF-JNK signaling pathway.
Q9W4B2,FBgn0263511,Vsx1,Visual system homeobox 1,X,5594255..5612865(1),"FBtr0070781, FBtr0340495","FBpp0309431, FBpp0070747",FlyBase Gene Snapshot,Visual system homeobox 1 (Vsx1) encodes a transcription factor involved in the development of the visual-system.
Q9VYY7,FBgn0030301,HP5,Heterochromatin protein 5,X,11454786..11459227(1),"FBtr0332619, FBtr0073499, FBtr0073500","FBpp0073349, FBpp0073348, FBpp0304865",FlyBase Gene Snapshot,Heterochromatin protein 5 (HP5) encodes a component of classical heterochromatin that is involved in gene silencing by heterochromatin.
Q9VGL9,FBgn0037916,CG5342,N/A,3R,11578826..11581476(1),FBtr0301159,FBpp0290382,Alliance,Predicted to enable mannose-ethanolamine phosphotransferase activity. Predicted to be involved in GPI anchor biosynthetic process. Predicted to be located in membrane. Predicted to be active in endoplasmic reticulum membrane. Is expressed in adult head. Human ortholog(s) of this gene implicated in multiple congenital anomalies-hypotonia-seizures syndrome 1. Orthologous to human PIGN (phosphatidylinositol glycan anchor biosynthesis class N).
Q0E9B5,FBgn0033713,CG8841,N/A,2R,12322507..12326258(-1),"FBtr0087966, FBtr0087965, FBtr0087964","FBpp0087072, FBpp0087074, FBpp0087073",Alliance,Predicted to be involved in intracellular protein transport. Predicted to be located in Golgi apparatus. Predicted to be active in Golgi medial cisterna; Golgi trans cisterna; and membrane. Is expressed in adult head and organism. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy. Orthologous to human HID1 (HID1 domain containing).
C3KGP2,FBgn0263112,Mitf,Mitf,4,1198852..1224467(1),"FBtr0307327, FBtr0307326, FBtr0307328, FBtr0307329","FBpp0298330, FBpp0298327, FBpp0298329, FBpp0298328",FlyBase Gene Snapshot,Mitf (Mitf) encodes a b-HLH-Zip transcription factor that regulates basic cellular processes in part by controlling the expression of the vacuolar (H[+])-ATPase subunits.
A0A499GGQ3,FBgn0028875,nAChRalpha5,nicotinic Acetylcholine Receptor alpha5,2L,14040170..14094401(1),"FBtr0080594, FBtr0474155, FBtr0309867, FBtr0300594","FBpp0301601, FBpp0289821, FBpp0423154, FBpp0089367",FlyBase Gene Snapshot,"nicotinic Acetylcholine Receptor alpha5 (nAChRalpha5) encodes a subunit of the nicotinic acetylcholine receptor, which is a pentameric neurotransmitter-gated ion channel."
A8DYD1,FBgn0000289,cg,combgap,2R,14173693..14182838(1),"FBtr0339962, FBtr0339960, FBtr0290034, FBtr0346946, FBtr0087529, FBtr0339961, FBtr0112795, FBtr0087527, FBtr0290035, FBtr0087526, FBtr0087528","FBpp0308983, FBpp0111707, FBpp0308982, FBpp0086655, FBpp0086656, FBpp0288474, FBpp0086657, FBpp0086658, FBpp0288473, FBpp0308984, FBpp0312412",FlyBase Gene Snapshot,combgap (cg) encodes a DNA binding protein that can act as a repressor or activator of gene expression depending on context. It binds to Polycomb Response Elements and is necessary to recruit Polycomb protein complexes to some of them.
M9MSL3,FBgn0026418,Hsp110,Heat shock protein 110,3L,14037019..14043686(1),"FBtr0304036, FBtr0075773, FBtr0304034, FBtr0304035, FBtr0333051, FBtr0304037, FBtr0075772, FBtr0075771","FBpp0293000, FBpp0292997, FBpp0075515, FBpp0075514, FBpp0292998, FBpp0075513, FBpp0292999, FBpp0305265",FlyBase Gene Snapshot,Heat shock protein 110 (Hsp110) encodes an HSP110 family protein that interacts physically with the product of DnaJ-1 as a chaperone of misfolded proteins. It functions together with the product of DnaJ-1 to prevent the toxicity of aggregation-prone proteins.
Q9W3N6,FBgn0040087,p115,p115,X,7894031..7896991(1),"FBtr0071089, FBtr0340162","FBpp0309148, FBpp0071045",FlyBase Gene Snapshot,p115 (p115) encodes a key protein of the early secretory pathway where it interacts with the product of GM130 and Rab proteins. p115 depletion from S2 cells leads to a fragmentation of the Golgi but without impairing transport efficiency.
Q9V7N5,FBgn0287825,Vha44,Vacuolar H[+] ATPase 44kD subunit,2R,16324813..16336637(-1),"FBtr0087176, FBtr0087173, FBtr0290031, FBtr0290032, FBtr0087175","FBpp0288470, FBpp0086317, FBpp0086320, FBpp0086319, FBpp0288471",UniProtKB,"Subunit of the V1 complex of vacuolar(H+)-ATPase (V-ATPase), a multisubunit enzyme composed of a peripheral complex (V1) that hydrolyzes ATP and a membrane integral complex (V0) that translocates protons (By similarity). V-ATPase is responsible for acidifying and maintaining the pH of intracellular compartments and in some cell types, is targeted to the plasma membrane, where it is responsible for acidifying the extracellular environment (By similarity). Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity (By similarity). In enterocytes, acts as part of a pHCl-2 sensory pathway which mediates Tor-dependent larval growth and metabolism in response to zinc availability (PubMed:32269334). Likely acts in maintaining enterocyte lysosomal acidification which consequently promotes Tor activation at the lysosome membrane (PubMed:32269334). (UniProtKB:Q9V7N5)"
Q9W0V1,FBgn0020386,Pdk1,Phosphoinositide-dependent kinase 1,3L,129450..145895(1),"FBtr0072465, FBtr0072471, FBtr0072464, FBtr0072470, FBtr0072468, FBtr0333218, FBtr0072466, FBtr0072467, FBtr0072469","FBpp0072369, FBpp0072373, FBpp0072368, FBpp0072367, FBpp0072372, FBpp0072370, FBpp0305420, FBpp0072366, FBpp0072371",UniProtKB,"Serine/threonine kinase required for embryonic development. Inhibits apoptosis. Acts in the insulin receptor transduction pathway which regulates cell growth and organ size, by phosphorylating and activating Akt1 and S6k. May be involved in axonal pathfinding and synaptogenesis, and in spermatogenesis. (UniProtKB:Q9W0V1)"
Q9VB05,FBgn0086346,ALiX,ALG-2 interacting protein X,3R,27696466..27700110(-1),FBtr0085241,FBpp0084610,FlyBase Gene Snapshot,"ALG-2 interacting protein X (ALiX) encodes an adaptor protein implicated in multiple cellular processes, including positive regulation of mitotic cytokinesis, exosomal secretion and apoptosis."
Q9VUH8,FBgn0036450,Tdrd3,Tudor domain containing 3,3L,14786791..14789665(1),FBtr0075691,FBpp0075441,Alliance,Predicted to enable RNA binding activity. Predicted to be involved in mRNA processing. Predicted to be located in cytoplasm. Predicted to be active in nucleus. Is expressed in adult head; embryonic brain; and organism. Orthologous to human TDRD3 (tudor domain containing 3).
A0A0B4KF34,FBgn0051550,CG31550,N/A,3R,5485543..5489489(1),"FBtr0336770, FBtr0113409, FBtr0392903, FBtr0078684","FBpp0112321, FBpp0307746, FBpp0078333, FBpp0352245",Alliance,Predicted to enable RNA binding activity. Predicted to be involved in RNA processing. Is expressed in organism. Orthologous to human SUGP1 (SURP and G-patch domain containing 1).
Q9VAR0,FBgn0039623,CG1951,N/A,3R,29027236..29030938(1),FBtr0085342,FBpp0084711,Alliance,Predicted to enable ATP binding activity. Involved in sexual reproduction. Is expressed in adult head. Human ortholog(s) of this gene implicated in arthrogryposis multiplex congenita-4. Orthologous to human SCYL2 (SCY1 like pseudokinase 2).
Q9VX88,FBgn0030812,wcy,wacky,X,17068717..17077897(-1),"FBtr0310524, FBtr0304840, FBtr0310525, FBtr0330596, FBtr0304839, FBtr0074412","FBpp0293380, FBpp0074186, FBpp0302662, FBpp0303447, FBpp0302661, FBpp0293379",FlyBase Gene Snapshot,"wacky (wcy) encodes a protein involved in habituation, autophagy regulation and TORC1 signaling."
P28285,FBgn0004168,5-HT1A,5-hydroxytryptamine (serotonin) receptor 1A,2R,19067155..19121958(1),"FBtr0474126, FBtr0086577","FBpp0423127, FBpp0085761",FlyBase Gene Snapshot,"5-hydroxytryptamine (serotonin) receptor 1A (5-HT1A) encodes a 5-hydroxytryptamine (serotonin) GPCR that belongs to the Class A GPCR family. They bind and transmit the signal from the neurotransmitter 5-HT (serotonin). The family can be subdivided into several subclasses based on pharmacology, signal transduction and structure. There are 5 genes encoding serotonin receptors in the Drosophila melanogaster genome: 5-HT1A, 5-HT1B, 5-HT2A, 5-HT2B, and 5-HT7. The product of 5-HT1A has been implicated in several aspects of adult behavior, including baseline sleep, aggression, courtship, as well as memory formation."
A0A0B7P9G0,FBgn0262124,uex,unextended,2R,3900285..3949425(-1),"FBtr0302226, FBtr0346683, FBtr0302227, FBtr0334938","FBpp0291436, FBpp0291437, FBpp0312292, FBpp0306957",UniProtKB,Probable metal transporter (By similarity). Acts downstream of PRL-1 and protects the nervous system against olfactory carbon dioxide stimulation (PubMed:31404830). (UniProtKB:A0A0B7P9G0)
Q8IGJ0,FBgn0086784,stmA,stambha A,2R,8729502..8734304(-1),"FBtr0479887, FBtr0088716, FBtr0301639, FBtr0339341, FBtr0088715, FBtr0479888","FBpp0308439, FBpp0100147, FBpp0087794, FBpp0428220, FBpp0087795, FBpp0428221",UniProtKB,An essential gene required for embryogenesis; required for cell viability. (UniProtKB:Q8IGJ0)
Q9VE75,FBgn0028670,Vha100-2,Vacuolar H[+] ATPase 100kD subunit 2,3R,18390323..18399169(-1),"FBtr0083656, FBtr0083657","FBpp0083071, FBpp0083072",Alliance,"Predicted to enable ATPase binding activity. Predicted to contribute to proton-transporting ATPase activity, rotational mechanism. Predicted to be involved in proton transmembrane transport and vacuolar acidification. Part of plasma membrane proton-transporting V-type ATPase complex. Is expressed in several structures, including adult Malpighian tubule; adult heart; anterior endoderm; extended germ band embryo; and gut section. Human ortholog(s) of this gene implicated in autosomal recessive osteopetrosis 1; developmental and epileptic encephalopathy; and renal tubular acidosis. Orthologous to several human genes including ATP6V0A1 (ATPase H+ transporting V0 subunit a1) and ATP6V0A4 (ATPase H+ transporting V0 subunit a4)."
B7YZV4,FBgn0264815,Pde1c,Phosphodiesterase 1c,2L,11814156..11928572(-1),"FBtr0334142, FBtr0344148, FBtr0334135, FBtr0334141, FBtr0334140, FBtr0334138, FBtr0334137, FBtr0334139, FBtr0334136","FBpp0310561, FBpp0306259, FBpp0306255, FBpp0306252, FBpp0306256, FBpp0306254, FBpp0306258, FBpp0306253, FBpp0306257",UniProtKB,"Cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:15673286). Required for male fertility and male mating behavior (PubMed:20551439). (UniProtKB:B7YZV4)"
X2JAA3,FBgn0032688,CG15160,N/A,2L,18590891..18595429(1),"FBtr0081070, FBtr0343825, FBtr0343826","FBpp0310376, FBpp0310375, FBpp0080620",Alliance,"Predicted to enable RNA polymerase II complex binding activity. Predicted to be involved in mRNA 3'-end processing. Predicted to be located in chromatin. Predicted to be part of RNA polymerase II, holoenzyme. Is expressed in organism. Orthologous to human RPRD2 (regulation of nuclear pre-mRNA domain containing 2)."
Q0E9G3,FBgn0033224,Nop17l,Nop17 like,2R,7800785..7806385(-1),"FBtr0088901, FBtr0088900, FBtr0088902","FBpp0087976, FBpp0087975, FBpp0087974",UniProtKB,"Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella. Involved in pre-assembly of dynein arm complexes in the cytoplasm before intraflagellar transport loads them for the ciliary compartment. (UniProtKB:Q0E9G3)"
M9PI57,FBgn0036414,nan,nanchung,3L,14186249..14189648(-1),"FBtr0321258, FBtr0089524","FBpp0302810, FBpp0088509",FlyBase Gene Snapshot,"nanchung (nan) encodes a member of the transient Receptor Potential (TRP) channel family. It is involved in the response to different stimuli such as startle, humidity or sound."
Q9VHG1,FBgn0285911,Vps16A,Vacuolar protein sorting 16A,3R,9267019..9270224(1),FBtr0081979,FBpp0081459,FlyBase Gene Snapshot,"Vacuolar protein sorting 16A (Vps16A) encodes a subunit of a heterohexameric tethering complex known as homotypic fusion and protein sorting (HOPS). HOPS roles include promoting the fusion of late endosomes, autophagosomes, biosynthetic vesicles, and lysosomes, and the biogenesis of lysosome-related eye pigment granules. The product of Vps16A is also part of miniCORVET (class C core vacuole/endosome tethering), a tethering complex involved in endosome maturation in nephrocytes and blood cells."
Q8IQN7,FBgn0266099,CG44836,N/A,3L,16390952..16400275(-1),"FBtr0343550, FBtr0343551","FBpp0310151, FBpp0310152",Alliance,Orthologous to human NSUN7 (NOP2/Sun RNA methyltransferase family member 7).
P10041,FBgn0000463,Delta,Delta,3R,19302731..19326217(-1),"FBtr0083739, FBtr0304658, FBtr0083740","FBpp0083153, FBpp0083154, FBpp0293200",FlyBase Gene Snapshot,"Delta (Delta) encodes a single pass transmembrane EGF family protein and one of two ligands of the Notch signaling pathway. It regulates cell fate decisions and cell proliferation. Post transcriptional modification (such as by fucosylation, ubiquitination and proteolysis) of the product of Delta is key for its functions."
Q9VWS3,FBgn0027335,Rip11,Rab11 interacting protein,X,18635642..18647648(-1),"FBtr0343019, FBtr0343021, FBtr0074616, FBtr0301545, FBtr0343020","FBpp0309771, FBpp0074387, FBpp0309772, FBpp0290760, FBpp0309773",FlyBase Gene Snapshot,"Rab11 interacting protein (Rip11) encodes a protein that belongs to Rab11 family interacting proteins (FIP family). It binds only to the GTP bound form of the product of Rab11, thus acting as its effector. It regulates Rhodopsin transport and cytokinesis."
P49762,FBgn0265998,Doa,Darkener of apricot,3R,28888073..28922772(1),"FBtr0299753, FBtr0299749, FBtr0308598, FBtr0299752, FBtr0299750, FBtr0299748, FBtr0299743, FBtr0299747, FBtr0308599, FBtr0479846, FBtr0299742, FBtr0299751, FBtr0299744, FBtr0308600, FBtr0299745","FBpp0289029, FBpp0300824, FBpp0289031, FBpp0289027, FBpp0289028, FBpp0428182, FBpp0300822, FBpp0300823, FBpp0289025, FBpp0289030, FBpp0289023, FBpp0289022, FBpp0289020, FBpp0289026, FBpp0289021",FlyBase Gene Snapshot,"Darkener of apricot (Doa) encodes an essential Ser/Thr protein kinase with SR proteins (RNA maturation) and the product of eEF1gamma (microtubule-based organelle transport) as substrates. It contributes to somatic sex determination (splicing of dsx transcript) and development of eye, wing, leg, oocyte and bristles."
A1Z8W1,FBgn0061197,salto,salto,2R,12302544..12306269(-1),"FBtr0089671, FBtr0089670, FBtr0089668, FBtr0089669","FBpp0088611, FBpp0088613, FBpp0088610, FBpp0088612",Alliance,Is expressed in adult head; scolopidial dendrite; spermatid; spermatocyte; and spermatozoon.
Q9V4M2,FBgn0259745,wech,wech,2R,7478853..7489823(-1),"FBtr0300084, FBtr0300083, FBtr0300082, FBtr0300080, FBtr0300081","FBpp0289358, FBpp0289357, FBpp0289359, FBpp0289360, FBpp0289361",FlyBase Gene Snapshot,"wech (wech) encodes a member of the RBCC/TRIM family of cytoplasmic multidomain proteins. It is a regulator of integrin-mediated adhesion. It interacts with the products of rhea and Ilk, which are components of the integrin-cytoskeleton link."
Q9VQY4,FBgn0020762,Atet,ABC transporter expressed in trachea,2L,4333913..4345776(1),"FBtr0112898, FBtr0077426, FBtr0077427, FBtr0112899","FBpp0111812, FBpp0077117, FBpp0111811, FBpp0077116",FlyBase Gene Snapshot,ABC transporter expressed in trachea (Atet) encodes a protein that is involved in transmembrane transport.
Q7KUZ9,FBgn0030662,Chsy,Chondroitin sulfate synthase,X,15585289..15593534(-1),"FBtr0340347, FBtr0074064","FBpp0309305, FBpp0073880",Alliance,Predicted to enable N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity and glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity. Predicted to be involved in chondroitin sulfate biosynthetic process. Predicted to be located in Golgi cisterna membrane. Is expressed in adult head. Human ortholog(s) of this gene implicated in temtamy preaxial brachydactyly syndrome. Orthologous to human CHSY1 (chondroitin sulfate synthase 1) and CHSY3 (chondroitin sulfate synthase 3).
