Protein_ID,MD5_Digest,Length,Analysis,Signature_Accession,Signature_Description,Start,Stop,Score,Status,Date,InterPro_Accession,InterPro_Description,GO_Annotations,Pathway_Annotations
Q9VKF0,d9466e5469fa0969195b1c687c16fb22,406,Pfam,PF00134,"Cyclin, N-terminal domain",215,327,1.30E-10,T,12/5/2026,IPR006671,"Cyclin, N-terminal",-,-
Q9VVR4,9231d0142a81b0f318e6160b75656af6,461,Pfam,PF00722,Glycosyl hydrolases family 16,355,386,0.12,T,12/5/2026,IPR000757,"Beta-glucanase-like, N-terminal domain",-,-
Q9VVR4,9231d0142a81b0f318e6160b75656af6,461,Pfam,PF15886,Carbohydrate binding domain (family 32),22,120,8.70E-16,T,12/5/2026,IPR031756,"Beta-1,3-glucan-binding protein, N-terminal",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04561,"RNA polymerase Rpb2, domain 2",202,395,4.50E-48,T,12/5/2026,IPR007642,"RNA polymerase Rpb2, domain 2",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04566,"RNA polymerase Rpb2, domain 4",568,630,3.00E-22,T,12/5/2026,IPR007646,"RNA polymerase Rpb2, domain 4",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04565,"RNA polymerase Rpb2, domain 3",469,533,2.80E-20,T,12/5/2026,IPR007645,"RNA polymerase Rpb2, domain 3",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF00562,"RNA polymerase Rpb2, domain 6",709,1082,1.30E-135,T,12/5/2026,IPR007120,"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04567,"RNA polymerase Rpb2, domain 5",654,702,1.30E-14,T,12/5/2026,IPR007647,"RNA polymerase Rpb2, domain 5",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04563,RNA polymerase beta subunit,39,442,1.90E-70,T,12/5/2026,IPR007644,"RNA polymerase, beta subunit, protrusion",-,-
P08266,e111e1ececb7182e141885833544dc9b,1176,Pfam,PF04560,"RNA polymerase Rpb2, domain 7",1084,1175,4.90E-29,T,12/5/2026,IPR007641,"RNA polymerase Rpb2, domain 7",-,-
Q9I7V4,06f7394cbe406dc23685ccc27b10d178,364,Pfam,PF00089,Trypsin,83,311,1.10E-64,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
Q9VCA9,d3a822ce81847893eeb85f6ba849e17b,179,Pfam,PF04573,Signal peptidase subunit,1,172,2.00E-58,T,12/5/2026,IPR007653,Signal peptidase complex subunit 3,-,-
P41596,478ebc8bd4331e4f83507ab4528a867a,511,Pfam,PF00001,7 transmembrane receptor (rhodopsin family),160,446,1.10E-60,T,12/5/2026,IPR000276,"G protein-coupled receptor, rhodopsin-like",-,-
Q9VFG7,fcf325760b66cbea8cacb109310b455a,351,Pfam,PF03006,Haemolysin-III related,111,328,1.20E-54,T,12/5/2026,IPR004254,AdipoR/Haemolysin-III-related,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00505,HMG (high mobility group) box,1317,1375,8.80E-09,T,12/5/2026,IPR009071,High mobility group box domain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF01426,BAH domain,1123,1234,5.20E-14,T,12/5/2026,IPR001025,Bromo adjacent homology (BAH) domain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF01426,BAH domain,924,1039,1.90E-19,T,12/5/2026,IPR001025,Bromo adjacent homology (BAH) domain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00439,Bromodomain,531,603,3.70E-16,T,12/5/2026,IPR001487,Bromodomain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00439,Bromodomain,61,139,1.50E-11,T,12/5/2026,IPR001487,Bromodomain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00439,Bromodomain,213,284,3.40E-16,T,12/5/2026,IPR001487,Bromodomain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00439,Bromodomain,368,433,1.10E-09,T,12/5/2026,IPR001487,Bromodomain,-,-
Q9VC36,bc910b1b642a84a26d49e97b649e7560,1654,Pfam,PF00439,Bromodomain,662,733,1.40E-17,T,12/5/2026,IPR001487,Bromodomain,-,-
Q95TU2,df7eb3036cd40c5f6bdef167a17cfc76,970,Pfam,PF03343,SART-1 family,351,918,9.40E-123,T,12/5/2026,IPR005011,SNU66/SART1 family,-,-
Q95TU2,df7eb3036cd40c5f6bdef167a17cfc76,970,Pfam,PF19252,HIND motif,279,300,8.00E-06,T,12/5/2026,IPR045347,HIND motif,-,-
A8JUT0,4b3af7b8701e57ca9d41bf473982e219,89,Pfam,PF15018,TRP-interacting helix,32,66,9.80E-10,T,12/5/2026,IPR029162,"TRP-interacting helix, InaF motif",-,-
Q9W2M4,8efacada5f26808f267280091208eecd,296,Pfam,PF12248,Farnesoic acid 0-methyl transferase,10,139,7.10E-39,T,12/5/2026,IPR022041,Farnesoic acid O-methyl transferase,-,-
Q9W2M4,8efacada5f26808f267280091208eecd,296,Pfam,PF11901,DM9 repeat,179,286,1.20E-38,T,12/5/2026,IPR006616,DM9 repeat,-,-
O97059,472b597099fb006d56cfcf7d72fa9226,221,Pfam,PF00379,Insect cuticle protein,56,122,1.00E-14,T,12/5/2026,IPR000618,Insect cuticle protein,-,-
Q9VRX3,4f0a6a42d05e614a0afb59d950672ced,462,Pfam,PF03953,Tubulin C-terminal domain,260,381,5.20E-35,T,12/5/2026,IPR018316,"Tubulin/FtsZ, 2-layer sandwich domain",-,-
Q9VRX3,4f0a6a42d05e614a0afb59d950672ced,462,Pfam,PF00091,"Tubulin/FtsZ family, GTPase domain",3,211,7.30E-57,T,12/5/2026,IPR003008,"Tubulin/FtsZ, GTPase domain",-,-
Q9VH45,1801e500b08cb7248baa58cbbb61b366,173,Pfam,PF03645,Tctex-1 family,74,168,2.50E-25,T,12/5/2026,IPR005334,Dynein light chain Tctex-1-like,-,-
Q0E9N4,e02726292ae1df5e86dd438b2b935a9e,206,Pfam,PF01918,Alba,34,97,1.30E-10,T,12/5/2026,IPR002775,DNA/RNA-binding protein Alba-like,-,-
Q9W3D4,ec2ecf50b6b5569f6f9ebba68f36fc1f,110,Pfam,PF08265,YL1 nuclear protein C-terminal domain,60,86,2.70E-08,T,12/5/2026,IPR013272,"Vps72/YL1, C-terminal",-,-
Q86B61,9aded6184cc990b30758f5790f233cc1,670,Pfam,PF01082,"Copper type II ascorbate-dependent monooxygenase, N-terminal domain",265,389,2.50E-39,T,12/5/2026,IPR000323,"Copper type II, ascorbate-dependent monooxygenase, N-terminal",-,-
Q86B61,9aded6184cc990b30758f5790f233cc1,670,Pfam,PF03712,"Copper type II ascorbate-dependent monooxygenase, C-terminal domain",409,565,3.70E-57,T,12/5/2026,IPR024548,"Copper type II ascorbate-dependent monooxygenase, C-terminal",-,-
Q86B61,9aded6184cc990b30758f5790f233cc1,670,Pfam,PF03351,DOMON domain,102,220,9.00E-22,T,12/5/2026,IPR005018,DOMON domain,-,-
Q9VDH8,37bd816fe79d8d27f3e1d4d20b3f2d9a,132,Pfam,PF04758,Ribosomal protein S30,73,130,3.60E-26,T,12/5/2026,IPR006846,Small ribosomal subunit protein eS30,-,-
Q9XYN7,da26ef1a63faed6bd81accf1b43b8670,205,Pfam,PF00227,Proteasome subunit,7,190,2.70E-41,T,12/5/2026,IPR001353,"Proteasome, subunit alpha/beta",-,-
Q9W1A4,bc77d03403637e6caf413659b7830bde,797,Pfam,PF21388,"Spermatogenesis-associated protein 2, PUB-like domain",25,183,3.50E-13,T,12/5/2026,IPR048839,"Spermatogenesis-associated protein 2, PUB-like domain",-,-
Q9NK54,cb49268948d542d16e80d68558f70309,1711,Pfam,PF07535,DBF zinc finger,310,352,5.60E-08,T,12/5/2026,IPR006572,"Zinc finger, DBF-type",-,-
Q9VII9,8b59c362e59374bbaf2bf768f71a8ed2,326,Pfam,PF00389,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",10,322,6.10E-23,T,12/5/2026,IPR006139,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",-,-
Q9VII9,8b59c362e59374bbaf2bf768f71a8ed2,326,Pfam,PF02826,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",116,294,1.30E-49,T,12/5/2026,IPR006140,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain",-,-
Q9VEF1,beb074822ea142b4a195d3646ff82b64,381,Pfam,PF00096,"Zinc finger, C2H2 type",258,281,33,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VEF1,beb074822ea142b4a195d3646ff82b64,381,Pfam,PF00096,"Zinc finger, C2H2 type",231,252,0.0036,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VEF1,beb074822ea142b4a195d3646ff82b64,381,Pfam,PF07776,Zinc-finger associated domain (zf-AD),10,76,5.30E-04,T,12/5/2026,IPR012934,"Zinc finger, AD-type",-,-
Q9VCG3,333e63a4de6b1aedb6994a3df3cdfd5b,255,Pfam,PF07047,Optic atrophy 3 protein (OPA3),9,127,1.10E-37,T,12/5/2026,IPR010754,Optic atrophy 3-like,-,-
Q9VIE9,737c9469f16c31310a08c3a24c338a98,493,Pfam,PF13918,PLD-like domain,233,411,1.10E-33,T,12/5/2026,IPR032803,"PLD3/4-like, PLD-like domain",-,-
Q9VXF5,1ffe29fdb626ba9701f9fc8d36e66df8,454,Pfam,PF01758,Sodium Bile acid symporter family,159,337,3.00E-19,T,12/5/2026,IPR002657,Bile acid:sodium symporter/arsenical resistance protein Acr3,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF24468,"LRP2-like, EGF-like domain",2460,2510,1.20E-05,T,12/5/2026,IPR056588,"LRP2, EGF-like domain",-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF07645,Calcium-binding EGF domain,1515,1553,0.11,T,12/5/2026,IPR049883,"NOTCH1, EGF-like calcium-binding domain",-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF07645,Calcium-binding EGF domain,4163,4200,1.80E-04,T,12/5/2026,IPR049883,"NOTCH1, EGF-like calcium-binding domain",-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF07645,Calcium-binding EGF domain,452,486,0.0016,T,12/5/2026,IPR049883,"NOTCH1, EGF-like calcium-binding domain",-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF12662,Complement Clr-like EGF-like,3269,3292,2.40E-04,T,12/5/2026,IPR026823,Complement Clr-like EGF domain,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,1644,1683,0.023,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,2327,2366,0.018,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,1690,1729,2.80E-06,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,4350,4391,5.60E-07,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,2372,2408,0.01,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00058,Low-density lipoprotein receptor repeat class B,2603,2641,0.084,T,12/5/2026,IPR000033,LDLR class B repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3868,3902,8.60E-05,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,2866,2901,3.00E-09,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1391,1426,2.70E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3951,3986,3.80E-08,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,2948,2987,3.80E-05,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3076,3120,0.0083,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1307,1343,4.80E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3784,3817,2.00E-05,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,2905,2944,4.70E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3996,4027,7.40E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1350,1387,3.50E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,2990,3026,2.70E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1266,1303,9.60E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,386,412,0.056,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,197,236,0.02,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1188,1223,3.00E-09,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3704,3739,1.50E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3912,3947,2.80E-07,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3034,3070,1.40E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,2824,2860,2.80E-07,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3827,3866,0.069,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3168,3204,5.60E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,156,192,3.80E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3743,3778,2.90E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,4082,4117,0.0047,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3210,3246,2.30E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,4040,4071,0.082,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,331,366,8.10E-08,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1227,1261,3.60E-07,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,291,327,8.30E-05,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3127,3163,1.00E-04,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,3662,3700,9.10E-05,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
A8JTM7,e18abd541e3f5a5bb3c314006bc6c791,4769,Pfam,PF00057,Low-density lipoprotein receptor domain class A,1148,1184,5.90E-06,T,12/5/2026,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,-,-
P04412,7a6bedaac7264d32591ae0c2130347d7,1426,Pfam,PF07714,Protein tyrosine and serine/threonine kinase,941,1192,1.80E-84,T,12/5/2026,IPR001245,"Serine-threonine/tyrosine-protein kinase, catalytic domain",-,-
P04412,7a6bedaac7264d32591ae0c2130347d7,1426,Pfam,PF14843,Growth factor receptor domain IV,572,682,1.60E-25,T,12/5/2026,IPR032778,Growth factor receptor domain 4,-,-
P04412,7a6bedaac7264d32591ae0c2130347d7,1426,Pfam,PF00757,Furin-like cysteine rich region,255,403,9.40E-20,T,12/5/2026,IPR006211,Furin-like cysteine-rich domain,-,-
P04412,7a6bedaac7264d32591ae0c2130347d7,1426,Pfam,PF01030,Receptor L domain,419,547,2.00E-23,T,12/5/2026,IPR000494,Receptor L-domain,-,-
P04412,7a6bedaac7264d32591ae0c2130347d7,1426,Pfam,PF01030,Receptor L domain,128,238,9.70E-21,T,12/5/2026,IPR000494,Receptor L-domain,-,-
A1ZA41,a300d65213cf5742eacf564ad31efa05,287,Pfam,PF00089,Trypsin,42,278,6.50E-30,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
Q9VQX0,2c8d6c50514c5aa46f283023d81261b7,565,Pfam,PF00307,Calponin homology (CH) domain,14,116,3.70E-04,T,12/5/2026,IPR001715,Calponin homology domain,-,-
Q7KT58,73358a75fce8e547b11796a8b7164765,455,Pfam,PF13855,Leucine rich repeat,289,348,9.80E-07,T,12/5/2026,IPR001611,Leucine-rich repeat,-,-
X2JEB0,5fb015767f5f811729523e471819dd91,1407,Pfam,PF23039,TMEM132 cohesin-like domain,268,400,5.70E-08,T,12/5/2026,IPR055421,"Transmembrane protein TMEM132, cohesin-like domain",-,-
X2JEB0,5fb015767f5f811729523e471819dd91,1407,Pfam,PF16070,TMEM132 fourth domain,431,527,4.80E-32,T,12/5/2026,IPR031437,"Transmembrane protein family 132, fourth domain",-,-
X2JEB0,5fb015767f5f811729523e471819dd91,1407,Pfam,PF23486,TMEM132 fifth domain,531,680,4.70E-36,T,12/5/2026,IPR055423,"Transmembrane protein TMEM132, fifth domain",-,-
X2JEB0,5fb015767f5f811729523e471819dd91,1407,Pfam,PF15706,TMEM132 C-terminal,895,983,3.10E-19,T,12/5/2026,IPR031436,"Transmembrane protein TMEM132, C-terminal",-,-
X2JEB0,5fb015767f5f811729523e471819dd91,1407,Pfam,PF23487,TMEM132 sixth domain,683,796,1.60E-34,T,12/5/2026,IPR055424,"Transmembrane protein TMEM132, sixth domain",-,-
Q9VNP0,d4b4ad540a57517fa8d595a76743511e,306,Pfam,PF07898,Protein of unknown function (DUF1676),43,203,3.80E-31,T,12/5/2026,IPR012464,Protein of unknown function DUF1676,-,-
Q9VZW5,c56dc81a06b341b315507c0feab4a71a,549,Pfam,PF00001,7 transmembrane receptor (rhodopsin family),134,393,5.40E-20,T,12/5/2026,IPR000276,"G protein-coupled receptor, rhodopsin-like",-,-
Q9VTU7,e6554a71ae2b4fd2656266bb34a3293d,483,Pfam,PF00001,7 transmembrane receptor (rhodopsin family),133,384,6.40E-48,T,12/5/2026,IPR000276,"G protein-coupled receptor, rhodopsin-like",-,-
Q86B83,cf47de8fc1dbfd5e492f8f5b3a604819,331,Pfam,PF03171,2OG-Fe(II) oxygenase superfamily,181,288,1.20E-13,T,12/5/2026,IPR044861,"Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain",-,-
Q86B83,cf47de8fc1dbfd5e492f8f5b3a604819,331,Pfam,PF14226,non-haem dioxygenase in morphine synthesis N-terminal,20,117,1.10E-12,T,12/5/2026,IPR026992,"Non-haem dioxygenase, N-terminal domain",-,-
Q9W259,4975ca19b9357ec779714faa3a2dbfe6,503,Pfam,PF07679,Immunoglobulin I-set domain,260,349,6.50E-08,T,12/5/2026,IPR013098,Immunoglobulin I-set,-,-
Q9W259,4975ca19b9357ec779714faa3a2dbfe6,503,Pfam,PF13927,Immunoglobulin domain,69,146,8.30E-04,T,12/5/2026,-,-,-,-
Q9W259,4975ca19b9357ec779714faa3a2dbfe6,503,Pfam,PF13927,Immunoglobulin domain,175,238,1.90E-04,T,12/5/2026,-,-,-,-
Q9W4S4,43d996c6b01ae7fe007055b1c742a9ea,200,Pfam,PF16039,Domain of unknown function (DUF4791),28,196,3.70E-61,T,12/5/2026,IPR032007,Protein of unknown function DUF4791,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF13306,BspA type Leucine rich repeat region (6 copies),346,478,2.50E-09,T,12/5/2026,IPR026906,BspA-type LRR region,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF13855,Leucine rich repeat,500,559,6.00E-07,T,12/5/2026,IPR001611,Leucine-rich repeat,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF13855,Leucine rich repeat,135,181,3.30E-06,T,12/5/2026,IPR001611,Leucine-rich repeat,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF13855,Leucine rich repeat,211,271,4.70E-11,T,12/5/2026,IPR001611,Leucine-rich repeat,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF13855,Leucine rich repeat,841,900,1.80E-09,T,12/5/2026,IPR001611,Leucine-rich repeat,-,-
A1ZBR2,4eefca47d0308258ce49c5b77f48dbfe,1385,Pfam,PF01582,TIR domain,1052,1145,0.066,T,12/5/2026,IPR000157,Toll/interleukin-1 receptor homology (TIR) domain,-,-
Q26365,26b2d21320af245fcb4f09e3af22b1c1,312,Pfam,PF00153,Mitochondrial carrier protein,21,115,5.40E-24,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q26365,26b2d21320af245fcb4f09e3af22b1c1,312,Pfam,PF00153,Mitochondrial carrier protein,126,217,2.90E-20,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q26365,26b2d21320af245fcb4f09e3af22b1c1,312,Pfam,PF00153,Mitochondrial carrier protein,223,312,8.00E-13,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q9W311,04658b4a75fec6e147fb40f63fa78ef9,355,Pfam,PF16063,Domain of unknown function (DUF4805),29,272,6.40E-101,T,12/5/2026,IPR032064,Protein of unknown function DUF4805,-,-
Q9I7J8,402e48fed49e5f30d9a042bab7219e88,409,Pfam,PF07776,Zinc-finger associated domain (zf-AD),5,75,4.30E-06,T,12/5/2026,IPR012934,"Zinc finger, AD-type",-,-
Q9I7J8,402e48fed49e5f30d9a042bab7219e88,409,Pfam,PF00096,"Zinc finger, C2H2 type",286,309,23,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9I7J8,402e48fed49e5f30d9a042bab7219e88,409,Pfam,PF00096,"Zinc finger, C2H2 type",343,365,37,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9I7J8,402e48fed49e5f30d9a042bab7219e88,409,Pfam,PF00096,"Zinc finger, C2H2 type",259,280,0.43,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9I7J8,402e48fed49e5f30d9a042bab7219e88,409,Pfam,PF12874,Zinc-finger of C2H2 type,371,395,0.43,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VZR6,468114bd73f509d2cc203b5bc900db5a,905,Pfam,PF01607,Chitin binding Peritrophin-A domain,82,140,0.0014,T,12/5/2026,IPR002557,Chitin binding domain,-,-
E1JHS4,289b75a71f509e35c46b5bc1c43ff167,87,Pfam,PF00014,Kunitz/Bovine pancreatic trypsin inhibitor domain,38,81,1.30E-09,T,12/5/2026,IPR002223,Pancreatic trypsin inhibitor Kunitz domain,-,-
Q9VUT6,98a8287ea6f79c9876e5482c985722bc,590,Pfam,PF00535,Glycosyl transferase family 2,131,310,3.80E-19,T,12/5/2026,IPR001173,Glycosyltransferase 2-like,-,-
